Answer,Matched_Category,Score
personal interest,5.4 transfer services,0.0
to obtain general information,12.1 tic: travel information centre,0.2388
to source products and services,8.6 medical products and machinery manufacturer / distributor,0.3112
to promote products and services,8.6 medical products and machinery manufacturer / distributor,0.3112
educational purposes,5.4 transfer services,0.0
formation of tourist products,12. tourist board / government / nto,0.2377
guided tour services,2.6 specialized tour operator,0.2727
event management,11. mice and event management,0.6375
marketing,5.4 transfer services,0.0
visa support,5.4 transfer services,0.0
general management,1.6 management company,0.4371
sales,5.4 transfer services,0.0
government,12. tourist board / government / nto,0.4514
media,15.2 online media,0.5774
it services,13. it solutions for travel industry,0.3501
accommodation provider,17.2 payment service provider,0.3547
sightseeing / museum / excursions & activities,10.1 museum,0.3762
other,5.6 other transport services,0.5495
educational institution,5.4 transfer services,0.0
insurance,17.1 insurance company,0.5869
glamping,7.3 other type of motorhomes & glamping,0.4859
glamping manufacturer,7.3 other type of motorhomes & glamping,0.3523
tour operator,2.6 specialized tour operator,0.7593
transport services / air carriage,5.6 other transport services,0.5167
it solutions for travel industry,13. it solutions for travel industry,0.926
medical centre/clinic,8. health & medical tourism,0.2937
caravaning,5.4 transfer services,0.0
travel agent,3. travel  agencies,0.3166
management / tourism promotion & marketing,1.6 management company,0.3114
hotel equipment & services supplier,9. hotel equipment & service suppliers,0.4597
joint responsibility,5.4 transfer services,0.0
sole responsibility,5.4 transfer services,0.0
advisory role,5.4 transfer services,0.0
no influence,5.4 transfer services,0.0
10 - 20 million rubles,10.1 museum,0.2623
more than 50 million rubles,5.4 transfer services,0.0
up to 1 million rubles,5.4 transfer services,0.0
5 - 10 million rubles,10.1 museum,0.3237
1 - 5 million rubles,5.4 transfer services,0.0
i don't know,5.4 transfer services,0.0
20 - 50 million rubles,5.4 transfer services,0.0
